id	Class	agey	hispn	white	black	asian	male	educ	trump	incomec	veg_diet	income	ecocatas	humabuse	ecocrisis	nep	famsec	honpar	selfdisc	trad	equal	socjust	peace	halt	resperth	protenv	unnat	balt	excit	curious	varied	open	infl	author	wealth	self	andig	pcruel	comp	animal	biovote	bioprice	biodon	biowts	climvote	climprice	climdon	climwts	anwbvote	anwbprice	anwbdon	anwbwts	SciThinking	BT.fam	sci_rel_-1	sci_rel_2	sci_rel_3	sci_rel_4	sci_rel_5	science	religiosity	politics	edu_cat	age_cat	edu_cat_STEM	race_cat	farm_c	farm_now	farm	ag_famil
159	e	43	0	1	0	0	1	4	0	125	2	5	4	3	1	2.666666746	4	5	4	4.333333492	5	4	5	4.666666508	5	3	4	4	4	4	5	4.333333492	5	5	4	4.666666508	5	4	3	4	5	3	4	4	4	4	5	4.333333492	5	5	4	4.666666508	0.75	5	5	4	3	4	5	3.5	4.666666667	2.333333333	3	2	3	1	0	0	0	4
160	d	37	0	0	1	0	0	5	0	12.5	1	1	4	4	2	3.333333254	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.5	3	4	3	3	3	3	3	3	3.157528285	2	1	2	3	0	0	0	2
161	c	34	0	0	0	1	1	6	0	125	1	5	4	4	2	3.333333254	3	4	4	3.666666746	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3.333333254	3	4	3	3.333333254	4	4	4	4	3	3	5	3.666666746	4	4	4	4	0.75	3.6	4	4	4	4	4	4	3.666666667	2	3	1	3	4	0	0	0	3
162	e	34	0	1	0	0	1	6	1	125	1	5	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	5	5	5	5	5	5	5	5	5.333333333	3	1	4	1	0	0	0	4
163	d	57	0	1	0	0	0	6	0	125	1	5	3	3	3	3	5	3	3	3.666666746	4	3	3	3.333333254	2	3	3	2.666666746	3	3	3	3	3	3	3	3	3	3	2	2.666666746	2	2	2	2	2	2	2	2	2	2	2	2	0.5	2	3	1	1	4	3	1	3.666666667	2.333333333	3	3	3	1	0	0	0	0
164	b	22	0	1	0	0	1	1	0	87.5	2	4	2	2	2	2	4	2	4	3.333333254	1	5	1	2.333333254	3	2	2	2.333333254	3	3	5	3.666666746	3	4	2	3	3	2	4	3	2	2	5	3	3	1	4	2.666666746	4	2	3	3	0.5	2.6	3	4	3	2	2	3.5	3	2.333333333	1	1	1	1	0	1	1	2
165	d	62	0	0	0	1	1	4	0	125	1	5	3	3	2	2.666666746	4	4	3	3.666666746	3	4	4	3.666666746	4	3	4	3.666666746	3	3	3	3	3	4	4	3.666666746	3	3	4	3.333333254	4	3	3	3.333333254	3	4	3	3.333333254	4	3	3	3.333333254	0.5	3.6	4	3	3	4	4	3	4	3.157528285	3	3	3	4	0	0	0	1
166	c	58	0	1	0	0	1	2	0	60.25	1	3	5	5	5	5	3	3	2	2.666666746	5	5	5	5	4	5	4	4.333333492	4	5	4	4.333333492	5	2	3	3.333333254	4	5	5	4.666666508	4	4	4	4	5	4	5	4.666666508	5	4	4	4.333333492	0.5	2.8	5	1	1	4	3	1	3.666666667	1	1	3	1	1	0	0	0	2
167	e	35	0	1	0	0	1	6	0	125	1	5	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	5	5	5	5	5	5	5	5	1	3	1	4	1	0	0	0	4
168	e	38	0	0	0	1	1	4	1	12.5	1	1	4	4	2	3.333333254	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.5	4.2	4	4	4	4	4	4	4	5.333333333	3	1	3	4	0	0	0	4
169	b	56	0	0	0	0	0	1	1	60.25	1	3	4	4	3	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	3	4	3	4	3.666666746	3	4	4	3.666666746	0.25	3.6	4	5	5	2	4	5	2.666666667	4.333333333	1	3	1	5	0	0	0	2
170	b	63	0	0	0	0	0	5	0	37.5	1	2	4	5	4	4.333333492	5	5	4	4.666666508	4	5	5	4.666666508	5	5	4	4.666666508	3	3	3	3	4	2	3	3	5	5	5	5	4	3	3	3.333333254	5	4	4	4.333333492	5	5	5	5	0.5	1.4	4	5	5	4	4	5	4	2	2	3	2	0	0	0	0	2
171	c	73	0	1	0	0	0	2	1	37.5	1	2	3	4	2	3	5	5	5	5	5	4	5	4.666666508	5	5	4	4.666666508	5	4	4	4.333333492	5	4	3	4	5	5	5	5	3	3	2	2.666666746	4	5	5	4.666666508	5	5	5	5	0.25	2.8	2	5	5	4	4	5	4	3.333333333	1	4	1	1	0	0	0	2
173	c	46	0	1	0	0	0	4	1	60.25	1	3	4	4	5	4.333333492	5	4	4	4.333333492	2	3	3	2.666666746	4	4	4	4	3	5	4	4	4	2	4	3.333333254	3	3	2	2.666666746	3	3	3	3	4	4	4	4	4	3	4	3.666666746	1	1.8	4	2	2	3	3	2	3.333333333	3	3	2	3	1	0	0	0	1
174	b	30	0	0	0	1	0	3	0	37.5	1	2	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4.333333492	4	4	3	3.666666746	4	3	5	4	0.25	1	5	5	5	5	5	5	5	2	2	1	2	4	0	0	0	1
175	b	58	0	0	0	0	0	2	0	60.25	1	3	5	5	3	4.333333492	5	5	3	4.333333492	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	0.5	2.2	4	5	5	3	3	5	3	2	1	3	1	0	0	0	0	0
176	c	71	0	0	0	0	0	4	1	37.5	1	2	2	4	3	3	5	5	4	4.666666508	4	4	4	4	4	4	4	4	3	3	3	3	4	4	3	3.666666746	4	4	4	4	3	2	2	2.333333254	2	1	2	1.666666627	4	1	4	3	0.75	2.8	3	3	2	4	4	2.5	4	3.333333333	3	3	3	0	0	0	0	2
177	d	62	0	1	0	0	1	1	0	12.5	1	1	5	5	5	5	4	5	3	4	5	2	5	4	4	2	4	3.333333254	4	4	4	4	2	1	1	1.333333373	5	5	5	5	3	3	3	3	4	3	5	4	4	3	4	3.666666746	0.5	2	2	1	1	2	2	1	2.333333333	2.490861619	1	3	1	1	1	0	1	0
178	c	36	0	1	0	0	0	5	0	60.25	1	3	4	4	4	4	5	5	4	4.666666508	5	5	5	5	3	4	4	3.666666746	2	3	3	2.666666746	4	2	2	2.666666746	5	5	4	4.666666508	3	4	3	3.333333254	3	4	3	3.333333254	3	3	4	3.333333254	1	2	4	3	3	2	2	3	2.333333333	2.490861619	2	1	2	1	0	0	0	1
179	a	25	0	1	0	0	0	2	0	12.5	1	1	4	4	3	3.666666746	5	5	4	4.666666508	4	3	4	3.666666746	4	4	4	4	3	3	3	3	4	3	2	3	4	4	4	4	3	3	3	3	4	4	4	4	4	4	4	4	0.5	2.2	3	3	3	3	2	3	3	3.157528285	1	1	1	1	0	0	0	2
180	b	61	0	1	0	0	0	5	0	125	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	3.666666746	1	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	4	4	5	5	1	1	5	1	2.333333333	2	3	2	1	1	0	1	3
181	a	31	0	1	0	0	0	4	1	60.25	1	3	4	5	4	4.333333492	5	5	4	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	3	3	1	2.333333254	5	5	5	5	5	4	3	4	5	4	3	4	5	5	4	4.666666508	0.5	4	5	1	3	1	1	2	1.333333333	4.666666667	3	1	3	1	0	0	0	4
182	d	28	1	1	0	0	0	2	0	37.5	1	2	3	3	3	3	2	3	4	3	4	1	5	3.333333254	4	5	3	4	1	3	1	1.666666627	3	3	2	2.666666746	3	4	1	2.666666746	3	2	4	3	4	2	2	2.666666746	4	4	1	3	0.5	2.6	4	3	3	3	3	3	3.333333333	2.333333333	1	1	1	2	0	0	0	3
183	d	69	0	1	0	0	1	5	0	37.5	1	2	3	4	5	4	5	5	4	4.666666508	5	5	5	5	5	5	5	5	2	4	4	3.333333254	2	2	2	2	5	5	5	5	5	4	4	4.333333492	5	4	4	4.333333492	5	4	4	4.333333492	0.25	2.4	4	2	4	2	2	3	2.333333333	2.666666667	2	3	2	1	0	0	0	2
184	c	75	0	1	0	0	0	2	0	37.5	1	2	4	4	4	4	5	4	3	4	5	5	5	5	4	4	3	3.666666746	3	4	3	3.333333254	3	3	3	3	4	4	3	3.666666746	4	3	3	3.333333254	5	4	3	4	4	4	3	3.666666746	0.75	2	4	2	3	2	3	2.5	3	1.333333333	1	4	1	1	0	0	0	0
185	d	61	0	1	0	0	1	5	1	37.5	1	2	1	1	1	1	5	5	3	4.333333492	1	1	3	1.666666627	1	1	1	1	3	3	1	2.333333254	3	3	1	2.333333254	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	0.25	1	1	5	5	3	1	5	1.666666667	5.333333333	2	3	2	1	0	0	0	1
186	d	33	0	1	0	0	0	5	0	37.5	1	2	5	5	5	5	4	4	4	4	5	4	5	4.666666508	4	4	3	3.666666746	3	4	4	3.666666746	4	2	3	3	5	3	2	3.333333254	5	5	4	4.666666508	5	5	4	4.666666508	5	5	4	4.666666508	0.5	3	3	1	4	3	4	2.5	3.666666667	1.666666667	2	1	2	1	0	0	0	3
187	a	18	1	1	0	0	1	1	0	12.5	1	1	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4	4	5	5	5	5	5	5	5	5	4	3	4	3.666666746	5	5	5	5	4	5	5	4.666666508	0.25	2.4	4	3	2	3	2	2.5	3	3	1	1	1	2	0	0	0	0
188	b	32	0	1	0	0	0	3	1	37.5	1	2	1	1	1	1	5	5	5	5	5	5	5	5	4	5	4	4.333333492	3	5	4	4	2	1	2	1.666666627	5	5	5	5	4	4	2	3.333333254	1	1	1	1	4	4	4	4	0.5	3	5	4	5	2	2	4.5	2	4.666666667	2	1	2	1	0	0	0	1
189	a	57	0	1	0	0	1	5	0	12.5	3	1	5	5	5	5	2	2	5	3	5	5	5	5	5	5	5	5	3	5	3	3.666666746	4	1	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	3.8	5	1	2	2	4	1.5	3.333333333	1	2	3	2	1	0	0	0	4
190	d	67	0	1	0	0	1	4	0	60.25	1	3	5	4	5	4.666666508	3	3	5	3.666666746	5	4	4	4.333333492	4	4	3	3.666666746	5	5	5	5	3	4	3	3.333333254	4	4	3	3.666666746	4	4	4	4	4	4	4	4	4	4	4	4	0.75	2.6	4	1	1	3	4	1	3.666666667	1	3	3	3	1	0	0	0	1
191	e	24	1	0	0	0	0	5	1	37.5	1	2	3	3	2	2.666666746	3	3	3	3	3	4	3	3.333333254	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.5	4	3	3	2	3	3	2.5	3	2.666666667	2	1	2	2	0	0	0	3
192	c	32	0	1	1	0	0	5	0	12.5	1	1	5	4	4	4.333333492	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3.333333254	4	3	2	3	4	4	4	4	4	4	5	4.333333492	4	4	5	4.333333492	4	4	5	4.333333492	0.75	2.8	4	2	2	3	3	2	3	1.333333333	2	1	2	5	0	0	0	1
193	d	50	0	1	0	0	0	3	1	37.5	1	2	3	4	3	3.333333254	4	4	3	3.666666746	3	3	4	3.333333254	3	3	2	2.666666746	4	3	4	3.666666746	3	3	2	2.666666746	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.5	1	2	2	4	3	3	3	3	4.666666667	2	2	2	1	0	0	0	0
194	a	49	1	1	0	0	0	6	0	87.5	1	4	5	5	5	5	5	5	4	4.666666508	5	5	5	5	5	5	4	4.666666508	4	5	4	4.333333492	5	1	2	2.666666746	5	5	4	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	0.75	4	5	1	1	1	1	1	1.666666667	1	3	2	3	2	0	0	0	2
195	c	24	1	1	1	0	0	5	0	12.5	1	1	3	4	4	3.666666746	5	4	3	4	5	4	5	4.666666508	5	3	4	4	5	5	5	5	1	1	2	1.333333373	3	3	3	3	4	5	5	4.666666508	5	5	5	5	4	5	5	4.666666508	0.5	2.8	4	2	1	2	3	1.5	3	2	2	1	2	5	0	0	0	1
196	c	67	0	1	0	0	1	4	0	125	1	5	3	4	4	3.666666746	5	5	2	4	4	3	4	3.666666746	3	3	2	2.666666746	3	3	3	3	4	3	3	3.333333254	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	1	2	4	3	4	3	3	3.5	3	2.333333333	3	3	4	1	0	0	0	0
197	d	23	0	0	0	1	0	6	0	60.25	1	3	3	4	2	3	5	5	4	4.666666508	4	4	5	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	5	4	4.333333492	4	5	4	4.333333492	4	5	5	4.666666508	0.5	3	4	4	4	4	4	4	4	2.157528285	3	1	4	4	0	0	0	2
198	d	54	1	1	0	0	0	2	0	60.25	1	3	3	4	3	3.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0.25	3	3	2	2	3	3	2	3	2.157528285	1	3	1	2	0	0	0	0
199	d	22	0	0	1	0	0	2	0	37.5	1	2	2	4	3	3	3	5	5	4.333333492	1	4	5	3.333333254	4	4	3	3.666666746	4	3	3	3.333333254	5	4	1	3.333333254	4	3	3	3.333333254	3	3	3	3	3	3	3	3	3	3	3	3	0.25	1	3	4	5	2	2	4.5	2	4.490861619	1	1	1	3	0	0	0	0
200	d	38	0	1	0	0	1	6	0	87.5	1	4	3	3	4	3.333333254	5	4	4	4.333333492	4	5	5	4.666666508	5	5	5	5	5	4	4	4.333333492	4	4	4	4	5	4	4	4.333333492	4	4	4	4	4	4	4	4	4	4	4	4	0.25	4	4	4	4	5	4	4	4.666666667	1.333333333	3	1	3	1	0	0	0	3
201	d	32	0	1	0	0	0	6	0	125	1	5	3	4	3	3.333333254	4	5	5	4.666666508	4	4	5	4.333333492	3	3	4	3.333333254	4	4	4	4	3	4	4	3.666666746	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	0.75	2.6	3	3	1	4	3	2	3.666666667	3.157528285	3	1	4	1	0	0	0	1
202	c	53	0	1	0	0	0	2	0	60.25	1	3	3	4	4	3.666666746	5	5	4	4.666666508	4	4	5	4.333333492	4	4	4	4	3	4	3	3.333333254	3	3	2	2.666666746	5	4	4	4.333333492	3	3	3	3	4	4	4	4	4	4	4	4	0.75	2	3	3	4	3	3	3.5	3	2.824194952	1	3	1	1	0	1	1	1
203	a	21	0	0	1	0	0	1	0	12.5	1	1	3	3	5	3.666666746	5	5	5	5	4	5	5	4.666666508	5	5	5	5	4	3	1	2.666666746	5	5	5	5	3	4	1	2.666666746	4	4	4	4	4	4	4	4	4	4	4	4	0.5	1	3	5	5	5	1	5	3	4	1	1	1	3	0	0	0	0
204	e	32	1	0	0	0	0	5	0	37.5	1	2	4	4	2	3.333333254	5	5	4	4.666666508	5	5	5	5	3	4	4	3.666666746	5	5	5	5	3	4	3	3.333333254	5	4	5	4.666666508	4	5	3	4	4	3	5	4	3	3	5	3.666666746	0.5	4.2	4	4	5	5	5	4.5	5	2.666666667	2	1	2	2	0	0	0	2
205	e	19	0	1	0	0	0	2	0	37.5	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4.333333492	2	2	3	2.333333254	2	2	3	2.333333254	5	5	4	4.666666508	4	4	5	4.333333492	5	5	5	5	5	5	5	5	0.5	3.8	4	1	5	2	5	3	4	3	1	1	1	1	0	0	0	0
206	d	34	0	0	0	1	1	6	0	87.5	2	4	5	4	2	3.666666746	5	4	5	4.666666508	4	4	5	4.333333492	5	5	4	4.666666508	4	3	4	3.666666746	4	4	3	3.666666746	5	5	2	4	4	3	3	3.333333254	4	3	3	3.333333254	4	4	4	4	0.25	3.2	3	3	4	3	4	3.5	3.666666667	3.490861619	3	1	4	4	0	0	0	3
207	e	28	0	1	0	0	0	2	0	37.5	1	2	3	5	2	3.333333254	5	5	3	4.333333492	4	5	5	4.666666508	3	3	3	3	3	3	3	3	3	3	4	3.333333254	5	4	1	3.333333254	3	3	2	2.666666746	3	3	2	2.666666746	3	4	2	3	0.75	1	5	5	5	2	3	5	3	2.824194952	1	1	1	1	0	0	0	0
208	e	44	0	1	0	0	1	5	1	125	1	5	1	2	1	1.333333373	5	4	4	4.333333492	3	3	3	3	3	4	3	3.333333254	3	4	4	3.666666746	4	4	3	3.666666746	4	4	4	4	3	2	3	2.666666746	1	1	1	1	3	3	3	3	1	4	3	2	4	4	4	3	4	4.333333333	2	2	2	1	1	0	1	1
209	e	34	0	0	0	0	0	4	0	125	2	5	5	5	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	5	5	5	5	4	3	4	3.666666746	5	4	4	4.333333492	5	4	4	4.333333492	0.25	3.8	2	4	5	4	4	4.5	4	2.490861619	3	1	3	0	0	0	0	3
210	d	61	0	1	0	0	1	6	0	60.25	1	3	1	3	2	2	5	5	5	5	4	4	5	4.333333492	4	4	3	3.666666746	4	4	4	4	4	4	4	4	4	4	5	4.333333492	3	2	3	2.666666746	2	2	1	1.666666627	2	2	1	1.666666627	0.75	1.8	3	1	5	3	4	3	3	3.157528285	3	3	3	1	0	0	0	0
211	d	35	0	1	0	0	0	5	1	60.25	1	3	3	3	3	3	5	5	5	5	3	4	3	3.333333254	5	4	4	4.333333492	5	4	4	4.333333492	3	3	3	3	5	4	4	4.333333492	3	5	4	4	4	4	4	4	5	4	5	4.666666508	0.25	3	4	4	4	4	2	4	3	4	2	1	2	1	0	0	0	2
212	d	18	0	1	0	0	0	1	1	12.5	1	1	4	4	3	3.666666746	5	1	3	3	3	2	3	2.666666746	4	2	5	3.666666746	3	3	1	2.333333254	3	3	5	3.666666746	1	2	5	2.666666746	1	2	2	1.666666627	3	3	3	3	5	5	2	4	0.25	2.4	3	3	3	4	2	3	3.666666667	3.333333333	1	1	1	1	0	0	0	2
213	e	71	1	1	0	0	1	6	0	37.5	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4.333333492	4	5	5	4.666666508	5	3	1	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.75	5	5	1	4	2	4	2.5	3.333333333	1.333333333	3	3	4	5	0	0	0	2
214	c	74	0	1	0	0	1	5	0	37.5	1	2	4	5	4	4.333333492	5	5	4	4.666666508	5	5	5	5	5	5	5	5	4	5	5	4.666666508	3	2	2	2.333333254	5	5	4	4.666666508	5	5	4	4.666666508	5	5	4	4.666666508	4	5	4	4.333333492	1	3	4	2	1	3	3	1.5	3.333333333	2	2	4	2	1	0	0	0	1
215	e	66	0	1	0	0	0	3	1	37.5	1	2	4	5	5	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	4	5	5	2	4	5	5	5	5	4	1	1	2	4	1	1	2	5	4	4	4.333333492	0.25	2.4	5	5	5	5	2	5	4	5.333333333	2	3	2	1	0	0	0	2
216	c	69	0	1	0	0	0	2	0	87.5	1	4	3	5	3	3.666666746	3	5	3	3.666666746	5	3	5	4.333333492	3	3	3	3	4	4	4	4	3	3	3	3	5	3	3	3.666666746	3	3	3	3	4	3	3	3.333333254	4	3	3	3.333333254	0.75	2.6	5	2	2	4	4	2	3.666666667	1	1	3	1	1	0	0	0	0
217	d	28	1	1	1	0	0	2	0	12.5	1	1	5	5	3	4.333333492	5	5	4	4.666666508	5	5	5	5	5	5	4	4.666666508	5	4	5	4.666666508	4	4	4	4	5	4	4	4.333333492	3	4	4	3.666666746	5	5	5	5	4	5	5	4.666666508	0.5	3.2	3	5	4	3	3	4.5	3	3.157528285	1	1	1	5	0	0	0	2
218	d	33	0	1	0	0	0	5	0	125	1	5	3	5	2	3.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4.666666508	5	5	5	5	3	3	5	3.666666746	4	5	5	4.666666508	5	5	5	5	0.75	1.6	3	5	5	3	2	5	2.333333333	3.157528285	2	1	2	1	0	0	0	1
219	b	71	0	1	0	0	0	2	0	12.5	1	1	5	3	3	3.666666746	5	5	4	4.666666508	5	4	5	4.666666508	4	4	3	3.666666746	3	3	3	3	3	3	3	3	5	5	4	4.666666508	3	2	4	3	4	2	4	3.333333254	5	1	4	3.333333254	1	1.2	3	4	5	2	3	4.5	3	5.157528285	1	3	1	1	0	0	0	0
220	d	21	1	0	0	0	1	5	0	12.5	1	1	3	4	4	3.666666746	4	4	2	3.333333254	1	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	3.666666746	3	4	3	3.333333254	4	4	3	3.666666746	3	3	3	3	0.5	2.6	4	3	1	2	3	2	2.666666667	2.157528285	2	1	2	2	0	0	0	0
221	c	32	0	1	1	0	0	5	0	60.25	1	3	3	4	4	3.666666746	5	5	4	4.666666508	5	5	3	4.333333492	3	3	3	3	3	3	2	2.666666746	2	2	2	2	3	4	3	3.333333254	5	3	3	3.666666746	5	4	3	4	4	3	3	3.333333254	0.5	4.2	4	1	2	3	2	1.5	3	2.333333333	2	1	2	3	0	0	0	1
222	a	63	0	1	0	0	0	2	1	37.5	1	2	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	4	5	2	2	3	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0.5	1	4	4	4	4	4	4	4	4	1	3	1	1	0	0	0	0
223	e	78	0	1	0	0	0	5	1	37.5	1	2	2	3	2	2.333333254	5	5	4	4.666666508	4	4	5	4.333333492	4	3	3	3.333333254	4	3	4	3.666666746	2	1	2	1.666666627	4	5	2	3.666666746	2	3	3	2.666666746	2	1	1	1.333333373	3	3	2	2.666666746	0.75	1.2	3	3	3	2	2	3	2.666666667	4.666666667	2	4	2	1	0	0	0	0
224	a	76	0	1	0	0	0	2	0	12.5	1	1	4	5	4	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4.666666508	5	4	4	4.333333492	5	5	5	5	3	3	4	3.333333254	4	3	5	4	5	4	5	4.666666508	0.5	1.4	3	5	5	4	4	5	3.666666667	2.666666667	1	4	1	1	0	0	0	0
225	a	57	0	1	0	0	0	5	0	37.5	1	2	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	2	3	3	5	5	5	5	5	4	5	4.666666508	5	4	5	4.666666508	5	4	4	4.333333492	0.75	2	4	2	2	4	5	2	4.666666667	2.333333333	2	3	2	1	0	0	0	1
226	b	61	0	1	0	0	1	5	0	12.5	1	1	4	5	5	4.666666508	5	5	4	4.666666508	4	4	5	4.333333492	4	5	4	4.333333492	3	5	3	3.666666746	3	2	2	2.333333254	5	5	5	5	4	2	2	2.666666746	5	3	3	3.666666746	5	3	3	3.666666746	0.5	2.2	5	1	1	2	3	1	3.333333333	1.333333333	2	3	2	1	0	0	0	1
227	d	46	0	1	0	0	1	4	0	87.5	1	4	3	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4.666666508	5	2	3	3.333333254	5	5	4	4.666666508	5	4	5	4.666666508	5	5	5	5	5	5	5	5	0.25	3.4	1	3	4	5	5	3.5	5	2.666666667	3	2	3	1	1	0	1	2
228	d	38	0	1	0	0	0	2	0	125	1	5	3	5	3	3.666666746	5	5	1	3.666666746	3	3	5	3.666666746	5	5	5	5	5	5	5	5	4	4	3	3.666666746	5	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	1	2.8	3	1	1	2	1	1	2	3.157528285	1	1	1	1	0	0	0	1
229	a	32	1	0	1	0	0	4	0	60.25	2	3	3	1	3	2.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	2.2	3	3	5	3	1	4	2.333333333	2.157528285	3	1	3	3	1	0	1	2
230	d	45	0	1	0	0	1	2	0	12.5	1	1	4	4	4	4	5	5	4	4.666666508	5	4	5	4.666666508	4	4	4	4	4	3	3	3.333333254	4	3	3	3.333333254	5	5	4	4.666666508	3	3	3	3	4	3	3	3.333333254	4	3	3	3.333333254	0	2.4	4	4	3	3	2	3.5	3	1.666666667	1	2	1	1	0	1	1	1
231	a	57	0	1	0	0	1	2	1	12.5	1	1	3	4	4	3.666666746	4	5	4	4.333333492	5	4	5	4.666666508	3	3	3	3	3	4	4	3.666666746	4	4	2	3.333333254	3	3	3	3	4	2	2	2.666666746	4	2	2	2.666666746	4	2	3	3	0.75	2.4	4	4	4	2	3	4	2.666666667	4.666666667	1	3	1	1	0	0	0	2
232	c	59	0	1	0	0	1	6	1	60.25	1	3	3	3	1	2.333333254	5	5	3	4.333333492	1	4	4	3	4	4	3	3.666666746	1	1	1	1	5	2	1	2.666666746	4	3	5	4	3	4	1	2.666666746	1	1	1	1	3	4	1	2.666666746	0.75	2.4	4	5	5	3	3	5	3	5	3	3	3	1	1	0	1	3
233	c	35	0	1	0	0	0	4	0	87.5	1	4	4	5	5	4.666666508	3	3	5	3.666666746	5	5	3	4.333333492	5	5	4	4.666666508	4	5	4	4.333333492	4	1	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4.666666508	1	2.8	5	1	1	2	4	1	3.333333333	1.333333333	3	1	3	1	0	0	0	2
234	e	34	0	1	0	0	1	6	1	125	2	5	5	5	1	3.666666746	4	5	4	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4.666666508	5	5	5	5	5	5	5	5	4	5	5	4.666666508	5	5	4	4.666666508	0.5	5	5	4	5	5	5	4.5	5	3.333333333	3	1	3	1	1	1	1	4
235	d	50	0	1	0	0	0	2	0	37.5	1	2	4	5	4	4.333333492	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3.333333254	3	3	3	3	0.25	2	4	2	3	2	3	2.5	2.666666667	3.157528285	1	2	1	1	0	0	0	0
236	c	40	0	1	0	0	0	4	0	125	1	5	4	5	5	4.666666508	5	3	2	3.333333254	5	4	5	4.666666508	5	5	4	4.666666508	4	4	3	3.666666746	3	2	2	2.333333254	5	4	4	4.333333492	5	4	3	4	5	4	3	4	5	4	3	4	1	3.4	5	1	1	2	3	1	2.666666667	1	3	1	3	1	0	0	0	3
237	c	63	0	1	0	0	0	6	1	12.5	1	1	3	4	4	3.666666746	5	5	5	5	5	5	3	4.333333492	5	4	4	4.333333492	5	5	5	5	5	3	4	4	4	4	4	4	4	3	3	3.333333254	3	4	4	3.666666746	4	4	4	4	0.75	1	4	2	3	4	4	2.5	4	4.333333333	3	3	3	1	1	1	1	2
238	d	24	1	1	0	0	0	3	1	12.5	1	1	4	4	4	4	4	4	4	4	4	4	5	4.333333492	4	4	4	4	4	4	4	4	3	4	4	3.666666746	4	5	4	4.333333492	4	4	4	4	4	4	4	4	4	4	4	4	0.25	2	5	1	2	4	4	1.5	4	3.333333333	2	1	2	2	0	1	1	3
239	e	35	0	1	0	0	0	6	0	60.25	1	3	4	4	4	4	4	4	2	3.333333254	5	5	5	5	3	3	3	3	3	5	4	4	1	3	2	2	5	5	4	4.666666508	3	4	4	3.666666746	5	4	4	4.333333492	5	5	5	5	0.75	1	5	1	2	1	2	1.5	1.666666667	1	3	1	3	1	0	0	0	0
